Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;35,8913429806873;0,912684496877238;35,9029454773306;1,45666609740953;11,9493169698309
2;84784;35,886500465298;0,974376415536128;35,8997259745111;1,555290783544;13,7813469652054
3;71884;35,9033633689883;1,05012495160179;35,9187174551039;1,67534663452069;15,7683859601887
4;60946;35,9474591020024;1,1403846012524;35,9655431340736;1,81702185962415;17,7104179552855
5;51673;35,9921387055524;1,24922407658575;36,0138113699904;1,98783815682093;19,7524559501298
6;43811;36,0700081965249;1,3734614107837;36,096147821399;2,18063555703289;21,7444929451004
7;37145;36,1620491961596;1,50851216963592;36,1934995687265;2,38872795594532;23,6465299402983
8;31493;36,2545083527346;1,6607691500945;36,2925271931897;2,62280726713109;25,6885669351426
9;26701;36,384596114377;1,82894812395283;36,4305350721952;2,87767054964616;27,6256009302521
10;22638;36,5273859148637;2,00984612292665;36,5826380023533;3,14940956327554;29,5226369254625
11;19194;36,6694615870963;2,20945480756441;36,7359647162587;3,44808913947533;31,4646729205593
12;16273;36,8253656572558;2,41821722330986;36,9046789761096;3,75705702223864;33,3767089157319
13;13797;37,0063273264733;2,64973775151534;37,1010696927445;4,09551942849763;35,2387449110307
14;11698;37,2143898187771;2,90441077211806;37,3275556595539;4,46262417111348;37,0207759065315
15;9918,1;37,4134005597991;3,18877699380294;37,5490457956549;4,87159613175191;38,9278139017167
16;8409;37,6176301953962;3,50330358772367;37,7804081177711;5,32056939991576;40,9198498966873
17;7129,5;37,8468071943693;3,86969157179317;38,0441234314654;5,83798717206973;42,8818858917336
18;6044,7;38,0678468066118;4,27331068075829;38,3069464283692;6,40493107283285;44,7789188869441
19;5125;38,3031885589219;4,75000322233326;38,5965903208108;7,06919594637742;46,7759578819021
20;4345,2;38,5670221239331;5,29788621137463;38,9292023270015;7,82167046240842;48,8029968767843
21;3684;38,8357649757396;5,92504137750998;39,2851467679082;8,67453168000423;50,6650278720831
22;3123,5;39,1582738053169;6,65912474347493;39,7204525372173;9,65119975333554;52,6120658671673
23;2648,2;39,4964454771739;7,50686996797024;40,2035110661666;10,7615307909576;54,5190998623525
24;2245,3;39,8836717434537;8,4868167711078;40,776627259325;12,0127553854541;56,4611368574493
25;1903,7;40,3404703851233;9,62930328931504;41,4738114082926;13,4253290199945;58,3681718526345
26;1614;40,8745031163569;10,9465396426215;42,3149114988624;14,9924790025205;60,1952068480217
27;1368,4;41,5176121905252;12,4557936709158;43,3458062328442;16,6998899539223;62,0672388432953
28;1160,2;42,3013152567843;14,1939938064402;44,6191744951777;18,5489190580953;63,9842768384552
29;983,68;43,267340796808;16,1724988745858;46,191043498449;20,4947751646422;65,9163118335773
30;834,01;44,4905607758445;18,4103019761695;48,1492390075156;22,479890442908;67,7533468289392
31;707,11;45,9963470567912;20,9033043564773;50,5233814742077;24,4396949849853;69,6103788242507
32;599,52;47,8756409523746;23,6480665887528;53,3976408653676;26,2869668374473;71,4874158195116
33;508,3;50,2274550375533;26,6303828988002;56,8504576312816;27,9323448119136;73,3944488146968
34;430,96;53,1299525267884;29,7789655794407;60,9063103995005;29,2703244410606;75,0964828103996
35;365,38;56,6899692068221;33,0081897534167;65,5994908476278;30,210447282744;76,9235158057868
36;309,79;60,9418482876502;36,1600244058381;70,8622342136189;30,6828991950149;78,7705478011235
37;262,65;65,9731124343019;39,0717819132608;76,6750005291584;30,6356277826005;80,6375847964097
38;222,69;71,7670003577708;41,5461884157103;82,9251958829521;30,0667126791052;82,5446187915949
39;188,81;78,1187685207287;43,2835458387556;89,3084953157921;28,9896785567588;84,3816547869568
40;160,08;84,8386722748321;44,1663788747757;95,6465855964896;27,501148503944;86,2636897822051
41;135,72;91,7368096070086;44,1004026086398;101,786481160892;25,6748712496792;88,1757247773777
42;115,07;98,3893343499138;43,0346468508835;107,389207760368;23,624153950292;90,1177607724745
43;97,562;104,601716872027;41,1761562749395;112,414389729046;21,4869325407381;92,0447937676092
44;82,717;110,155575232286;38,6683297445191;116,745408817592;19,3427972700468;93,9518297627944
45;70,131;114,815248408908;35,8002279839299;120,267192496128;17,3178576515494;95,8738667579418
46;59,46;119,221524499806;32,6914709729927;123,622425871829;15,3340438150093;100,097944747277
47;50,413;122,486822108022;29,712550508651;126,039109993094;13,6352896804822;103,125000739634
48;42,742;125,397079162801;26,9626111897459;128,263049491002;12,1348580731003;105,137037734555
49;36,239;127,627982506421;24,2361876713515;129,908793818972;10,7522783618803;107,209075729323
50;30,725;129,490651095888;21,827521389539;131,317437574938;9,56808616502768;109,331115723965
51;26,05;130,956334728785;19,7263032235165;132,433714153397;8,56621434604668;111,493156718507
52;22,086;132,3449839264;17,8898548541866;133,548649102801;7,69834655719677;113,815200712644
53;18,726;133,414426487851;16,3544142131167;134,413079941412;6,98865378275849;116,152242706744
54;15,877;134,466220588261;15,0585666204576;135,306780716835;6,38980092610198;118,569287700641
55;13,461;135,313046610925;14,1335907667632;136,049178502087;5,96298204904705;121,056330694362
56;11,413;136,100802192721;13,2638537105544;136,745596538818;5,56624560272806;123,698380687692
57;9,6762;136,993913698793;12,7295684358867;137,584062678336;5,30871921396774;126,49543368063
58;8,2039;137,798484133521;12,3033410182776;138,346645892513;5,10212603748988;129,277485673606
59;6,9556;138,633875237007;12,1196281859287;139,162626989416;4,99620024304981;132,114538666443
60;5,8973;139,487269378534;12,0284972735028;140,00493943193;4,928631865817;135,021591659103
61;5;140,352265963047;12,129835147514;140,875446624555;4,9394695948329;137,898646651839
